Mileage,EngineV,log_price,Brand_BMW,Brand_Mercedes-Benz,Brand_Mitsubishi,Brand_Renault,Brand_Toyota,Brand_Volkswagen,Body_hatch,Body_other,Body_sedan,Body_vagon,Body_van,Engine Type_Gas,Engine Type_Other,Engine Type_Petrol,Registration_yes
277,2.0,8.34283980427146,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
427,2.9,8.974618038455112,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
358,5.0,9.495519314209846,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
240,4.2,10.043249494911286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
120,2.0,9.814656338829513,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
200,2.7,9.560997243589352,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
193,1.5,9.28720881623276,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
212,1.8,7.24422751560335,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
177,1.5,9.388486557359657,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
260,1.79,7.824046010856292,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
165,2.7,9.159047077588632,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
100,1.8,9.259130536145614,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
250,4.7,9.680344001221918,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
84,1.5,9.0595174822416,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
203,2.0,8.003028666384733,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
21,2.0,10.184900011974314,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
250,2.5,8.160518247477505,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,2.4,10.551454296015532,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
132,1.4,8.922658299524402,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
225,2.4,8.824677891164198,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
130,2.4,9.259130536145614,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
163,4.2,10.1226230824528,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
151,3.0,9.94270826568941,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
330,2.4,8.779557455883728,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
171,2.2,9.515321941506025,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
